"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Marquess Wilson (NYJ)","2","3","13","6.5","10","0","0","0","0","0","0","3","3.3","1.1","0.0%"
"Eric Weems (TEN)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"Brandon Tate (BUF)","1","2","6","6.0","6","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"Adam Jennings (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Bobby Engram (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brandon London (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brian Clark (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Chad Jackson (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Craig Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Danny Woodhead (BAL)","76","86","605","8.0","39","4","6","106","429","2","0","16","0.0","0.0","71.5%"
"David Patten (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"David Tyree (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Deion Branch (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Demetrius Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dennis Northcutt (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Derek Stanley (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Glenn Martinez (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Greg Lewis (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Javon Walker (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jeremy Maclin (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.9%"
"Joey Galloway (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"John Standeford (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jonathan Holland (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jordan Kent (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Josh Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Juaquin Iglesias (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Justin Jenkins (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Keenan Burton (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kelley Washington (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Lance Long (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Laveranues Coles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mark Bradley (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mark Jones (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marty Booker (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Matt Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Muhsin Muhammad (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Quinten Lawrence (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Reggie Brown (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Reggie Williams (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ronald Curry (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Sam Aiken (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Sean Morey (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Shaun McDonald (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tim Carter (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Todd Watkins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Torry Holt (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Troy Williamson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
