"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"Anthony Sherman (KC)","0","0","0","0","0","0","4","6","11","2.8","0","0","8","5.1","0.6","0.0%"
"James Develin (NE)","0","0","0","0","0","0","3","6","18","6.0","0","0","9","4.8","0.5","0.0%"
"Lorenzo Taliaferro (BAL)","1","0","0.0","0","0","0","3","3","10","3.3","0","0","1","4.0","4.0","0.0%"
"Brandon Bolden (NE)","1","4","4.0","4","0","0","2","4","15","7.5","0","0","6","3.9","0.7","0.0%"
"D.J. Foster (NE)","7","24","3.4","7","0","0","1","2","2","2.0","0","0","3","3.6","1.2","0.0%"
"Jalston Fowler (TEN)","1","3","3.0","3","0","0","1","2","14","14.0","0","0","5","2.7","0.5","0.0%"
"Jay Prosch (HOU)","4","9","2.3","5","0","0","1","1","6","6.0","0","0","7","2.5","0.4","1.0%"
"Roosevelt Nix (PIT)","0","0","0","0","0","0","2","2","5","2.5","0","0","6","2.5","0.4","0.0%"
"Cedric Peerman (CIN)","6","15","2.5","4","0","0","0","1","0","0","0","0","4","1.5","0.4","0.0%"
"Rod Smith (DAL)","0","0","0","0","0","0","1","1","4","4.0","0","0","3","1.4","0.5","0.0%"
"Marcus Murphy (NYJ)","0","0","0","0","0","0","1","1","3","3.0","0","0","2","1.3","0.7","0.0%"
"Terrance Magee (CLE)","3","12","4.0","5","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"Keith Smith (DAL)","2","5","2.5","3","0","0","3","3","20","6.7","0","0","6","1.1","0.2","0.0%"
"Tyler Ervin (HOU)","1","3","3.0","3","0","0","3","5","18","6.0","0","2","12","1.1","0.1","1.0%"
"Stevan Ridley (DEN)","3","7","2.3","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"Joe Banyard (BUF)","2","7","3.5","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"Raheem Mostert (SF)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"Aaron Stecker (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ahman Green (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Albert Young (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Alvin Pearman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Antonio Pittman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"B.J. Askew (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brad Hoover (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Carey Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chris Henry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Clifton Smith (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Correll Buckhalter (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dan Kreider (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Deon Anderson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"DeShawn Wynn (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Edgerrin James (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Fred Taylor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Gartrell Johnson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Gary Russell (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jamal Lewis (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jason McKie (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jason Wright (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Javarris Williams (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jeremi Johnson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Justin Fargas (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Justin Griffith (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kahlil Bell (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kenneth Darby (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kolby Smith (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Korey Hall (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kyle Eckel (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ladell Betts (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"LaMont Jordan (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"LenDale White (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Leonard Weaver (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Louis Rankin (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Luke Lawton (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Marcus Mailei (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Marcus Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Marshawn Lynch (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.0%"
"Matt Lawrence (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Naufahu Tahi (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Oren O'Neal (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Quinton Ganther (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ryan Moats (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Terrelle Smith (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tim Castille (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Verron Haynes (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Willie Parker (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"J.J. Arrington (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devin Moore (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Andre Anderson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Javarris James (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brandon James (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
